,cards,free,games,goals,name,points,position,team,value
176,0.0,False,20.0,3.0,Sergi Guardiola,82.0,Forward,Valladolid,"1,630,000"
177,5.0,True,27.0,1.0,Aritz Elustondo,117.0,Defender,Real Sociedad,"1,580,000"
178,5.0,True,23.0,2.0,Maripán,133.0,Defender,Alavés,"1,560,000"
179,3.0,True,33.0,6.0,Bacca,118.0,Forward,Villarreal,"1,560,000"
180,8.0,True,31.0,0.0,Rubén Pérez,127.0,Midfielder,Leganés,"1,540,000"
181,0.0,True,0.0,0.0,Araujo,0.0,Defender,Celta,"1,520,000"
182,7.0,True,33.0,6.0,Enes Ünal,134.0,Forward,Valladolid,"1,470,000"
183,0.0,True,0.0,0.0,Diego Carlos,0.0,Defender,Sevilla,"1,470,000"
184,,True,,,Montoro,,Midfielder,Granada,"1,440,000"
185,3.0,True,24.0,0.0,Trigueros,80.0,Midfielder,Villarreal,"1,420,000"
186,4.0,True,29.0,8.0,Bale,126.0,Forward,Real Madrid,"1,410,000"
187,6.0,True,19.0,2.0,Vezo,90.0,Defender,Levante,"1,390,000"
188,0.0,False,16.0,0.0,Aitor Fernández,70.0,Goalkeeper,Levante,"1,370,000"
189,7.0,False,26.0,1.0,Zaldua,112.0,Defender,Real Sociedad,"1,360,000"
190,0.0,True,0.0,0.0,Rui Silva,0.0,Goalkeeper,Granada,"1,360,000"
191,8.0,True,31.0,0.0,Guardado,113.0,Midfielder,Betis,"1,350,000"
192,,True,,,Fran Mérida,,Midfielder,Osasuna,"1,340,000"
193,1.0,True,31.0,0.0,Lobotka,108.0,Midfielder,Celta,"1,340,000"
194,1.0,False,31.0,0.0,Herrerín,94.0,Goalkeeper,Athletic,"1,320,000"
195,0.0,True,0.0,0.0,Jules Koundé,0.0,Defender,Sevilla,"1,320,000"
196,4.0,True,27.0,4.0,Coke,109.0,Defender,Levante,"1,300,000"
197,2.0,False,25.0,0.0,Rubén Blanco,93.0,Goalkeeper,Celta,"1,300,000"
198,,True,,,Fede Vico,,Midfielder,Granada,"1,300,000"
199,1.0,True,16.0,0.0,Sergio León,34.0,Forward,Levante,"1,290,000"
200,3.0,True,33.0,6.0,Loren,126.0,Forward,Betis,"1,290,000"
201,0.0,True,0.0,0.0,Antonio Puertas,0.0,Midfielder,Granada,"1,280,000"
202,3.0,True,26.0,2.0,Toni Villa,109.0,Midfielder,Valladolid,"1,270,000"
203,10.0,True,24.0,1.0,Carriço,125.0,Defender,Sevilla,"1,250,000"
204,,True,,,Adrián Ramos,,Forward,Granada,"1,230,000"
205,,False,,,Óliver Torres,,Midfielder,Sevilla,"1,220,000"
206,8.0,True,33.0,3.0,Óscar Plano,140.0,Forward,Valladolid,"1,210,000"
207,3.0,True,16.0,1.0,Naldo,86.0,Defender,Espanyol,"1,180,000"
208,0.0,False,0.0,0.0,Manolo Reina,0.0,Goalkeeper,Mallorca,"1,180,000"
209,0.0,True,20.0,2.0,Inui,72.0,Midfielder,Eibar,"1,170,000"
210,0.0,True,0.0,0.0,Juan Villar,0.0,Forward,Osasuna,"1,170,000"
211,7.0,True,33.0,0.0,Zubeldia,119.0,Midfielder,Real Sociedad,"1,160,000"
212,0.0,True,0.0,0.0,Dani Rodríguez,0.0,Midfielder,Mallorca,"1,160,000"
213,3.0,True,22.0,2.0,Melero,75.0,Midfielder,Levante,"1,150,000"
214,7.0,False,31.0,2.0,Ximo Navarro,122.0,Defender,Alavés,"1,130,000"
215,10.0,True,30.0,2.0,Yokuslu,129.0,Midfielder,Celta,"1,130,000"
216,1.0,True,29.0,3.0,Mayoral,99.0,Forward,Real Madrid,"1,120,000"
217,,True,,,Raíllo,,Defender,Mallorca,"1,020,000"
218,0.0,True,0.0,0.0,Aridai Cabrera,0.0,Midfielder,Mallorca,"1,010,000"
219,0.0,True,0.0,0.0,Abdón Prats,0.0,Forward,Mallorca,"1,010,000"
220,13.0,True,29.0,0.0,Dani García,108.0,Midfielder,Athletic,"1,000,000"
