;defender_points;defender_values;defenders;forward_points;forward_values;forwards;goalkeeper_points;goalkeeper_values;goalkeepers;midfielder_points;midfielder_values;midfielders;total_points;total_value
239;[200.0, 170.0, 166.0, 87.0];[6880000, 3330000, 3040000, 170000];['Jordi Alba', 'Laguardia', 'Calero', 'Oliveira'];[262.0, 136.0, 185.0];[11740000, 3150000, 2500000];['Luis Suárez', 'Gameiro', 'Charles'];[173.0];[3610000];['Pacheco'];[221.0, 173.0, 164.0, 137.0, 131.0, 52.0];[9560000, 3570000, 3080000, 2670000, 1850000, 150000];['Morales', 'Marc Roca', 'Coutinho', 'Franco Vázquez', 'Ibai Gómez', 'Córdoba'];2257.0;55300000
240;[227.0, 193.0, 95.0, 79.0];[8360000, 6390000, 850000, 500000];['Piqué', 'Jesús Navas', 'De Marcos', 'Martín Aguirregabiria'];[239.0, 244.0, 157.0];[9660000, 6560000, 3440000];['Borja Iglesias', 'Jorge Molina', 'Gerard Moreno'];[106.0];[2220000];['Dmitrovic'];[184.0, 201.0, 194.0, 125.0, 104.0, 66.0];[6330000, 4620000, 4200000, 2240000, 990000, 150000];['Lo Celso', 'Jordan', 'Campaña', 'William Carvalho', 'Lucas Vázquez', 'Piatti'];2214.0;56510000
241;[174.0, 150.0, 122.0, 67.0];[2440000, 1890000, 1100000, 460000];['Rubén Peña', 'Jonathan Silva', 'Ximo Navarro', 'Nacho'];[428.0, 166.0, 157.0];[22790000, 5200000, 3440000];['Messi', 'Portu', 'Gerard Moreno'];[196.0];[6480000];['Oblak'];[163.0, 174.0, 152.0, 151.0, 73.0, 52.0];[5930000, 3360000, 2650000, 1790000, 590000, 150000];['Modric', 'Vidal', 'Thomas', 'Michel Herrero', 'Boudebouz', 'Córdoba'];2225.0;58270000
242;[193.0, 133.0, 166.0, 89.0];[6390000, 3220000, 2240000, 730000];['Jesús Navas', 'Iñigo Martínez', 'Nacho Martínez', 'Piccini'];[428.0, 209.0, 209.0];[22790000, 7540000, 6440000];['Messi', 'Williams', 'Jaime Mata'];[160.0];[2980000];['Diego López'];[164.0, 133.0, 127.0, 73.0, 87.0, 72.0];[3080000, 1590000, 1460000, 590000, 330000, 180000];['Coutinho', 'Granero', 'Rubén Pérez', 'Boudebouz', 'Zurutuza', 'Brasanac'];2243.0;59560000
243;[227.0, 166.0, 134.0, 92.0];[8360000, 3040000, 2870000, 180000];['Piqué', 'Calero', 'Gabriel Paulista', 'Antoñito'];[263.0, 188.0, 136.0];[10710000, 7850000, 3150000];['Benzema', 'Rodrigo', 'Gameiro'];[160.0];[2980000];['Diego López'];[214.0, 149.0, 148.0, 133.0, 108.0, 101.0];[6630000, 3440000, 2320000, 1590000, 950000, 580000];['Canales', 'Busquets', 'Óscar Rodríguez', 'Granero', 'Dani García', 'Portillo'];2219.0;54650000
244;[133.0, 119.0, 99.0, 104.0];[1840000, 900000, 630000, 290000];['Funes Mori', 'Sergi Gómez', 'Sidnei', 'Arbilla'];[428.0, 209.0, 104.0];[22790000, 6440000, 3010000];['Messi', 'Jaime Mata', 'Munir'];[128.0];[3030000];['Vaclík'];[184.0, 201.0, 175.0, 148.0, 108.0, 104.0];[6330000, 4620000, 2590000, 2320000, 1300000, 990000];['Lo Celso', 'Jordan', 'Joaquín', 'Óscar Rodríguez', 'Lobotka', 'Lucas Vázquez'];2244.0;57080000
245;[227.0, 166.0, 113.0, 108.0];[8360000, 2240000, 920000, 790000];['Piqué', 'Nacho Martínez', 'Jason', 'Bustinza'];[244.0, 263.0, 99.0];[11150000, 10710000, 1180000];['Griezmann', 'Benzema', 'Mayoral'];[128.0];[3030000];['Vaclík'];[163.0, 153.0, 154.0, 150.0, 156.0, 133.0];[5930000, 3800000, 3420000, 3230000, 2790000, 1590000];['Modric', 'Orellana', 'Saúl', 'Melendo', 'Tello', 'Granero'];2257.0;59140000
246;[179.0, 158.0, 79.0, 51.0];[3200000, 2340000, 500000, 150000];['Cote', 'Mandi', 'Martín Aguirregabiria', 'Luna'];[428.0, 210.0, 155.0];[22790000, 8310000, 1890000];['Messi', 'Oyarzabal', 'Roger'];[173.0];[3610000];['Pacheco'];[162.0, 171.0, 152.0, 131.0, 125.0, 93.0];[4120000, 3780000, 2650000, 1850000, 1570000, 410000];['Muniain', 'Darder', 'Thomas', 'Ibai Gómez', 'Tomás Pina', 'Fran Beltrán'];2267.0;57170000
247;[166.0, 148.0, 88.0, 92.0];[3040000, 2240000, 770000, 180000];['Calero', 'Yuri', 'Feddal', 'Antoñito'];[239.0, 244.0, 118.0];[9660000, 6560000, 1500000];['Borja Iglesias', 'Jorge Molina', 'Bacca'];[150.0];[2810000];['Masip'];[215.0, 201.0, 127.0, 156.0, 155.0, 109.0];[6860000, 4620000, 3430000, 2790000, 2790000, 750000];['Cazorla', 'Jordan', 'Carlos Soler', 'Tello', 'Maksimovic', 'Cheryshev'];2208.0;48000000
248;[130.0, 133.0, 141.0, 81.0];[2800000, 1840000, 1450000, 190000];['Bartra', 'Funes Mori', 'Araujo', 'Moyano'];[428.0, 172.0, 61.0];[22790000, 3210000, 570000];['Messi', 'Ángel Rodríguez', 'Marc Cardona'];[150.0];[2810000];['Masip'];[144.0, 184.0, 174.0, 152.0, 131.0, 109.0];[7950000, 6330000, 3360000, 2650000, 1850000, 1130000];['Guedes', 'Lo Celso', 'Vidal', 'Thomas', 'Ibai Gómez', 'Toni Villa'];2190.0;58930000
249;[200.0, 150.0, 117.0, 106.0];[6880000, 1890000, 1550000, 390000];['Jordi Alba', 'Jonathan Silva', 'Aritz Elustondo', 'Dídac Vilà'];[244.0, 239.0, 165.0];[11150000, 9660000, 5000000];['Griezmann', 'Borja Iglesias', 'Willian José'];[70.0];[1260000];['Aitor Fernández'];[215.0, 201.0, 173.0, 149.0, 119.0, 101.0];[6860000, 4620000, 3570000, 3440000, 610000, 580000];['Cazorla', 'Jordan', 'Marc Roca', 'Busquets', 'Manu García', 'Portillo'];2249.0;57460000
250;[166.0, 158.0, 141.0, 88.0];[3040000, 2340000, 1450000, 770000];['Calero', 'Mandi', 'Araujo', 'Feddal'];[428.0, 165.0, 172.0];[22790000, 5000000, 3210000];['Messi', 'Willian José', 'Ángel Rodríguez'];[150.0];[2810000];['Masip'];[215.0, 201.0, 155.0, 118.0, 119.0, 53.0];[6860000, 4620000, 2790000, 660000, 610000, 150000];['Cazorla', 'Jordan', 'Maksimovic', 'Diop', 'Manu García', 'Gumbau'];2329.0;57100000
251;[200.0, 166.0, 124.0, 113.0];[6880000, 2240000, 1850000, 920000];['Jordi Alba', 'Nacho Martínez', 'Bernardo', 'Jason'];[262.0, 246.0, 185.0];[11740000, 8320000, 2500000];['Luis Suárez', 'Ben Yedder', 'Charles'];[150.0];[2810000];['Masip'];[163.0, 162.0, 173.0, 137.0, 105.0, 65.0];[5930000, 4120000, 3570000, 2670000, 2380000, 160000];['Modric', 'Muniain', 'Marc Roca', 'Franco Vázquez', 'Januzaj', 'Hernán Pérez'];2251.0;56090000
252;[151.0, 154.0, 117.0, 111.0];[4960000, 3130000, 1550000, 690000];['Sergio Ramos', 'Hugo Mallo', 'Aritz Elustondo', 'Mario Gaspar'];[428.0, 157.0, 114.0];[22790000, 3440000, 1010000];['Messi', 'Gerard Moreno', 'Correa'];[178.0];[3580000];['David Soria'];[255.0, 174.0, 118.0, 119.0, 149.0, 104.0];[11420000, 3360000, 660000, 610000, 380000, 300000];['Parejo', 'Vidal', 'Diop', 'Manu García', 'Moi Gómez', 'Wakaso'];2329.0;57880000
253;[158.0, 143.0, 90.0, 99.0];[2340000, 1990000, 1340000, 630000];['Mandi', 'Miramón', 'Vezo', 'Sidnei'];[428.0, 209.0, 118.0];[22790000, 6440000, 1500000];['Messi', 'Jaime Mata', 'Bacca'];[128.0];[3030000];['Vaclík'];[184.0, 100.0, 117.0, 155.0, 175.0, 87.0];[6330000, 3050000, 2810000, 2790000, 2590000, 330000];['Lo Celso', 'Isco', 'Banega', 'Maksimovic', 'Joaquín', 'Zurutuza'];2191.0;57960000
254;[200.0, 174.0, 117.0, 60.0];[6880000, 2440000, 1550000, 180000];['Jordi Alba', 'Rubén Peña', 'Aritz Elustondo', 'Cabaco'];[428.0, 172.0, 155.0];[22790000, 3110000, 1890000];['Messi', 'Sergi Enrich', 'Roger'];[150.0];[2810000];['Masip'];[215.0, 214.0, 109.0, 90.0, 64.0, 83.0];[6860000, 6630000, 750000, 450000, 350000, 210000];['Cazorla', 'Canales', 'Cheryshev', 'Ferrán Torres', 'Sergio Álvarez Díaz', 'Vesga'];2231.0;56900000
